,Ensemble ID,Uniprot ID
Thnsl2,ENSMUSG00000054474,Q80W22
Gm44427,ENSMUSG00000108206,0
Fabp1,ENSMUSG00000054422,P12710
Smyd1,ENSMUSG00000055027,P97443
Krcc1,ENSMUSG00000053012,Q99JT5
Gm1070,ENSMUSG00000073018,Q3UWW8
Cd8b1,ENSMUSG00000053044,P10300
Gm44175,ENSMUSG00000108132,0
Cd8a,ENSMUSG00000053977,P01731
Rmnd5a,ENSMUSG00000002222,Q80YQ8
Rnf103,ENSMUSG00000052656,Q9R1W3
Gm44195,ENSMUSG00000107406,0
Chmp3,ENSMUSG00000053119,Q9CQ10
Kdm3a,ENSMUSG00000053470,Q6PCM1
Reep1,ENSMUSG00000052852,Q8BGH4
Mrpl35,ENSMUSG00000052962,Q9CQL6
Immt,ENSMUSG00000052337,Q8CAQ8
Ptcd3,ENSMUSG00000063884,Q14C51
Polr1a,ENSMUSG00000049553,O35134
Gm26628,ENSMUSG00000097133,0
St3gal5,ENSMUSG00000056091,O88829
RP24-416M6.4,ENSMUSG00000108709,0
RP24-416M6.5,ENSMUSG00000108371,0
Atoh8,ENSMUSG00000037621,Q99NA2
Sftpb,ENSMUSG00000056370,P50405
Usp39,ENSMUSG00000056305,Q3TIX9
RP23-60P18.10,ENSMUSG00000108435,0
0610030E20Rik,ENSMUSG00000058706,Q149G0
Tmem150a,ENSMUSG00000055912,Q91WN2
Rnf181,ENSMUSG00000055850,Q9CY62
Vamp5,ENSMUSG00000073002,Q9Z2P8
Vamp8,ENSMUSG00000050732,O70404
Ggcx,ENSMUSG00000053460,Q9QYC7
Mat2a,ENSMUSG00000053907,Q3THS6
Sh2d6,ENSMUSG00000052631,Q9D413
Capg,ENSMUSG00000056737,P24452
Elmod3,ENSMUSG00000056698,Q91YP6
Retsat,ENSMUSG00000056666,Q64FW2
Tgoln1,ENSMUSG00000056429,Q62313
Tcf7l1,ENSMUSG00000055799,Q9Z1J1
Gm15401,ENSMUSG00000072999,Q3V2H2
Gm15402,ENSMUSG00000079524,0
Kcmf1,ENSMUSG00000055239,Q80UY2
Gm26640,ENSMUSG00000097569,0
Tmsb10,ENSMUSG00000079523,Q6ZWY8
Gm44031,ENSMUSG00000107546,0
Dnah6,ENSMUSG00000052861,E9Q0B6
Suclg1,ENSMUSG00000052738,Q9WUM5
1700065L07Rik,ENSMUSG00000107408,0
4931417E11Rik,ENSMUSG00000056197,Q9CR05
Gm31747,ENSMUSG00000107441,0
Gm9008,ENSMUSG00000072476,E9PVG0
Gm44166,ENSMUSG00000107651,0
Ctnna2,ENSMUSG00000063063,Q61301
Lrrtm1,ENSMUSG00000060780,Q8K377
Reg3b,ENSMUSG00000071356,P35230
Reg3d,ENSMUSG00000068341,G3UWG6
Reg3a,ENSMUSG00000079516,O09037
Reg3g,ENSMUSG00000030017,O09049
Gm20362,ENSMUSG00000108072,0
Gm44271,ENSMUSG00000108027,0
Gm43902,ENSMUSG00000107419,0
1700009C05Rik,ENSMUSG00000101404,0
Gcfc2,ENSMUSG00000035125,Q8BKT3
Mrpl19,ENSMUSG00000030045,Q9D338
Gm20383,ENSMUSG00000107412,0
Eva1a,ENSMUSG00000035104,Q91WM6
Gm15864,ENSMUSG00000087136,0
Tacr1,ENSMUSG00000030043,P30548
Pole4,ENSMUSG00000030042,Q9CQ36
Gm44145,ENSMUSG00000107453,0
Hk2,ENSMUSG00000000628,O08528
2310069B03Rik,ENSMUSG00000100291,0
RP23-238I17.9,ENSMUSG00000109076,0
Sema4f,ENSMUSG00000000627,Q9Z123
M1ap,ENSMUSG00000030041,Q9Z0E1
Dok1,ENSMUSG00000068335,P97465
Loxl3,ENSMUSG00000000693,Q9Z175
Htra2,ENSMUSG00000068329,Q9JIY5
Aup1,ENSMUSG00000068328,P70295
Dqx1,ENSMUSG00000009145,Q924H9
Tlx2,ENSMUSG00000068327,Q61663
Pcgf1,ENSMUSG00000069678,Q8R023
Lbx2,ENSMUSG00000034968,Q9WUN8
Ccdc142,ENSMUSG00000107499,Q8CAI1
Ccdc142-1,ENSMUSG00000079511,A0A0R3P9D1
Ccdc142os,ENSMUSG00000087578,0
Mrpl53,ENSMUSG00000030037,Q9D1H8
Mogs,ENSMUSG00000030036,Q80UM7
Wbp1,ENSMUSG00000030035,P97764
Ino80b,ENSMUSG00000030034,Q99PT3
Rtkn,ENSMUSG00000034930,Q8C6B2
Wdr54,ENSMUSG00000030032,Q9R0D8
1700003E16Rik,ENSMUSG00000030030,Q9DAQ4
Dctn1,ENSMUSG00000031865,O08788
Slc4a5,ENSMUSG00000068323,E9Q3M5
Mthfd2,ENSMUSG00000005667,P18155
Mob1a,ENSMUSG00000043131,Q921Y0
Bola3,ENSMUSG00000045160,Q8CEI1
Tet3,ENSMUSG00000034832,Q8BG87
Dguok,ENSMUSG00000014554,Q9QX60
Actg2,ENSMUSG00000059430,P63268
Stambp,ENSMUSG00000006906,Q9CQ26
RP23-361O12.3,ENSMUSG00000108660,0
Vax2os,ENSMUSG00000085794,0
Vax2,ENSMUSG00000034777,Q9WTP9
Atp6v1b1,ENSMUSG00000006269,Q91YH6
1700124L16Rik,ENSMUSG00000099354,0
Ankrd53,ENSMUSG00000014747,Q3V0J4
Tex261,ENSMUSG00000014748,Q62302
Nagk,ENSMUSG00000034744,Q9QZ08
Paip2b,ENSMUSG00000045896,Q91W45
Zfp638,ENSMUSG00000030016,Q61464
Dysf,ENSMUSG00000033788,Q9ESD7
Gm43918,ENSMUSG00000107682,0
Gm44127,ENSMUSG00000107538,0
4930504D19Rik,ENSMUSG00000107926,0
Cyp26b1,ENSMUSG00000063415,Q811W2
Exoc6b,ENSMUSG00000033769,A6H5Z3
Gm44012,ENSMUSG00000108012,0
Gm5878,ENSMUSG00000072952,Q3V139
Spr,ENSMUSG00000033735,Q64105
Emx1,ENSMUSG00000033726,Q04742
Sfxn5,ENSMUSG00000033720,Q925N0
Rab11fip5,ENSMUSG00000051343,Q8R361
Noto,ENSMUSG00000068302,Q5TIS6
Smyd5,ENSMUSG00000033706,Q3TYX3
Pradc1,ENSMUSG00000030008,Q9D9N8
Cct7,ENSMUSG00000030007,P80313
Fbxo41,ENSMUSG00000047013,Q6NS60
Egr4,ENSMUSG00000071341,Q9WUF2
Alms1,ENSMUSG00000063810,Q8K4E0
Gm11128,ENSMUSG00000079495,0
Cml5,ENSMUSG00000079494,Q9QXS8
Nat8,ENSMUSG00000030004,Q9JIY7
Cml2,ENSMUSG00000033634,Q8CHQ9
1700019G17Rik,ENSMUSG00000068299,E0CYM0
Cml1,ENSMUSG00000057103,Q9JIZ0
Tprkb,ENSMUSG00000054226,Q8QZZ7
Dusp11,ENSMUSG00000030002,Q6NXK5
Gm19265,ENSMUSG00000107230,0
4930553P18Rik,ENSMUSG00000106791,0
Figla,ENSMUSG00000030001,O55208
Add2,ENSMUSG00000030000,Q9QYB8
Tgfa,ENSMUSG00000029999,P48030
Fam136a,ENSMUSG00000057497,Q9CR98
Snrpg,ENSMUSG00000057278,P62309
Gm19273,ENSMUSG00000107509,0
Pcyox1,ENSMUSG00000029998,Q9CQF9
Tia1,ENSMUSG00000071337,P52912
C87436,ENSMUSG00000046679,Q8R3C1
A430078I02Rik,ENSMUSG00000085589,0
2310040G24Rik,ENSMUSG00000101655,0
Gm43936,ENSMUSG00000107876,0
Gm44386,ENSMUSG00000107689,0
Pcbp1,ENSMUSG00000051695,P60335
1600020E01Rik,ENSMUSG00000097048,0
Asprv1,ENSMUSG00000033508,Q09PK2
Mxd1,ENSMUSG00000001156,P50538
Snrnp27,ENSMUSG00000001158,Q8K194
Gm44214,ENSMUSG00000108197,0
Gmcl1,ENSMUSG00000001157,Q920G9
Gm44036,ENSMUSG00000107961,0
Anxa4,ENSMUSG00000029994,P97429
Aak1,ENSMUSG00000057230,Q3UHJ0
Nfu1,ENSMUSG00000029993,Q9QZ23
Gfpt1,ENSMUSG00000029992,P47856
D6Ertd527e,ENSMUSG00000090891,A0A0N4SUP2
Antxr1,ENSMUSG00000033420,Q9CZ52
Gkn2,ENSMUSG00000030049,Q9CQS6
Arhgap25,ENSMUSG00000030047,Q8BYW1
Prokr1,ENSMUSG00000049409,Q9JKL1
Aplf,ENSMUSG00000030051,Q9D842
Gm44097,ENSMUSG00000107593,0
1810020O05Rik,ENSMUSG00000089997,A0A571BDQ7
Gm44210,ENSMUSG00000108079,0
Efcc1,ENSMUSG00000068263,Q9JJF6
Rab43,ENSMUSG00000030055,Q8CG50
Isy1,ENSMUSG00000030056,Q69ZQ2
Cnbp,ENSMUSG00000030057,P53996
Copg1,ENSMUSG00000030058,Q9QZE5
Gm26636,ENSMUSG00000097763,0
Hmces,ENSMUSG00000030060,Q8R1M0
H1fx,ENSMUSG00000044927,Q80ZM5
Gm5577,ENSMUSG00000084950,Q9CRN2
Rab7,ENSMUSG00000079477,P51150
Rpn1,ENSMUSG00000030062,Q91YQ5
Gata2,ENSMUSG00000015053,O09100
Dnajb8,ENSMUSG00000048206,Q9QYI7
1700031F10Rik,ENSMUSG00000047046,Q9D9Q7
Eefsec,ENSMUSG00000033216,Q9JHW4
Gm44264,ENSMUSG00000107561,0
Ruvbl1,ENSMUSG00000030079,P60122
Sec61a1,ENSMUSG00000030082,P61620
Gm44170,ENSMUSG00000107659,0
Kbtbd12,ENSMUSG00000033182,Q9D618
Gm26588,ENSMUSG00000097730,0
Mgll,ENSMUSG00000033174,O35678
Abtb1,ENSMUSG00000030083,Q99LJ2
Podxl2,ENSMUSG00000033152,Q8CAE9
Gm15612,ENSMUSG00000085828,Q3V0D0
Mcm2,ENSMUSG00000002870,P97310
Tpra1,ENSMUSG00000002871,Q99MU1
4933427D06Rik,ENSMUSG00000055403,Q4KMM7
Gm1965,ENSMUSG00000090254,Q3UTD5
Gm839,ENSMUSG00000060416,B2RV85
Gm44205,ENSMUSG00000107622,0
Gm26811,ENSMUSG00000097816,0
Plxna1,ENSMUSG00000030084,P70206
Chchd6,ENSMUSG00000030086,Q91VN4
Txnrd3,ENSMUSG00000000811,Q99MD6
Vmn1r40,ENSMUSG00000096051,Q9EQ46
Vmn1r43,ENSMUSG00000068231,Q8VIC9
Vmn1r44,ENSMUSG00000068234,Q9EQ47
Vmn1r51,ENSMUSG00000062818,Q8VIC6
Vmn1r53,ENSMUSG00000057697,Q9EP93
BC048671,ENSMUSG00000049694,Q8C5S3
Chst13,ENSMUSG00000056643,D3Z6E3
Zxdc,ENSMUSG00000034430,Q8C8V1
Cfap100,ENSMUSG00000048794,Q80VN0
Klf15,ENSMUSG00000030087,Q9EPW2
Gm44421,ENSMUSG00000107451,0
RP24-457L7.3,ENSMUSG00000108111,0
Aldh1l1,ENSMUSG00000030088,Q8R0Y6
Gm15756,ENSMUSG00000089781,0
Slc41a3,ENSMUSG00000030089,Q921R8
Iqsec1,ENSMUSG00000034312,Q8R0S2
Gm44123,ENSMUSG00000107999,0
Nup210,ENSMUSG00000030091,Q9QY81
Gm44278,ENSMUSG00000107882,0
Hdac11,ENSMUSG00000034245,Q91WA3
Fbln2,ENSMUSG00000064080,P37889
Wnt7a,ENSMUSG00000030093,P24383
4930471M09Rik,ENSMUSG00000097693,0
1810044D09Rik,ENSMUSG00000100680,0
Chchd4,ENSMUSG00000034203,Q8VEA4
Tmem43,ENSMUSG00000030095,Q9DBS1
Xpc,ENSMUSG00000030094,P51612
Lsm3,ENSMUSG00000034192,P62311
Slc6a6,ENSMUSG00000030096,O35316
Grip2,ENSMUSG00000030098,E0CXE0
Ccdc174,ENSMUSG00000034083,Q3U155
4930590J08Rik,ENSMUSG00000034063,Q8CDN1
Fgd5,ENSMUSG00000034037,Q80UZ0
4930466I24Rik,ENSMUSG00000087317,0
Nr2c2,ENSMUSG00000005893,P49117
Mrps25,ENSMUSG00000014551,Q9D125
Rbsn,ENSMUSG00000014550,Q80Y56
Trh,ENSMUSG00000005892,Q62361
Prickle2,ENSMUSG00000030020,Q80Y24
Adamts9,ENSMUSG00000030022,E9PUN6
A730049H05Rik,ENSMUSG00000048636,Q8C6J2
Gm15737,ENSMUSG00000079462,D3YZR0
9530026P05Rik,ENSMUSG00000097462,0
Magi1,ENSMUSG00000045095,Q6RHR9
Slc25a26,ENSMUSG00000045100,Q5U680
Lrig1,ENSMUSG00000030029,P70193
4930511E03Rik,ENSMUSG00000108187,0
Kbtbd8os,ENSMUSG00000085413,0
Kbtbd8,ENSMUSG00000030031,Q3UQV5
Suclg2,ENSMUSG00000061838,Q9Z2I8
Fam19a1,ENSMUSG00000059187,Q7TPG8
1700123L14Rik,ENSMUSG00000072878,0
Fam19a4,ENSMUSG00000046500,Q7TPG5
Eogt,ENSMUSG00000035245,Q8BYW9
Tmf1,ENSMUSG00000030059,B9EKI3
Uba3,ENSMUSG00000030061,Q8C878
Arl6ip5,ENSMUSG00000035199,Q8R5J9
Lmod3,ENSMUSG00000044086,E9QA62
Frmd4b,ENSMUSG00000030064,Q920B0
Mitf,ENSMUSG00000035158,Q08874
Gm32592,ENSMUSG00000107902,Q3TU65
Gm765,ENSMUSG00000090667,B2RVL9
Gm44196,ENSMUSG00000107614,0
Gm44197,ENSMUSG00000107929,0
Foxp1,ENSMUSG00000030067,P58462
Gm20696,ENSMUSG00000030068,H3BJN7
Eif4e3,ENSMUSG00000093661,Q9DBB5
Gpr27,ENSMUSG00000072875,O54897
Prok2,ENSMUSG00000030069,Q9QXU7
Gm26748,ENSMUSG00000097548,0
Gm43067,ENSMUSG00000107204,0
Gm44442,ENSMUSG00000107528,0
Rybp,ENSMUSG00000072872,Q8CCI5
Gm44107,ENSMUSG00000107663,0
1700049E22Rik,ENSMUSG00000101553,0
Shq1,ENSMUSG00000035378,Q7TMX5
Gxylt2,ENSMUSG00000030074,Q810K9
Ppp4r2,ENSMUSG00000052144,Q0VGB7
Gm43948,ENSMUSG00000107427,0
Pdzrn3,ENSMUSG00000035357,Q69ZS0
Gm26911,ENSMUSG00000097834,0
Gm9871,ENSMUSG00000052236,Q8CEJ5
Gm44176,ENSMUSG00000107579,0
Cntn3,ENSMUSG00000030075,Q07409
Gm44188,ENSMUSG00000107563,0
Chl1,ENSMUSG00000030077,P70232
Cntn6,ENSMUSG00000030092,Q9JMB8
Gm15631,ENSMUSG00000085067,0
Cntn4,ENSMUSG00000064293,Q69Z26
Il5ra,ENSMUSG00000005364,P21183
Trnt1,ENSMUSG00000013736,Q8K1J6
Crbn,ENSMUSG00000005362,Q8C7D2
Gm44398,ENSMUSG00000107714,0
Lrrn1,ENSMUSG00000034648,Q61809
4933431M02Rik,ENSMUSG00000107496,0
Setmar,ENSMUSG00000034639,Q80UJ9
Sumf1,ENSMUSG00000030101,Q8R0F3
Itpr1,ENSMUSG00000030102,P11881
0610040F04Rik,ENSMUSG00000087341,0
Bhlhe40,ENSMUSG00000030103,O35185
Arl8b,ENSMUSG00000030105,Q9CQW2
Edem1,ENSMUSG00000030104,Q925U4
Gm20387,ENSMUSG00000092448,0
Grm7,ENSMUSG00000056755,Q68ED2
1700054K19Rik,ENSMUSG00000100219,0
Lmcd1,ENSMUSG00000057604,Q8VEE1
5031434C07Rik,ENSMUSG00000044574,Q3TNP5
Ssu2,ENSMUSG00000034387,Q8C3L1
Cav3,ENSMUSG00000062694,P51637
Oxtr,ENSMUSG00000049112,P97926
Rad18,ENSMUSG00000030254,Q9QXK2
Gm26799,ENSMUSG00000097579,0
Srgap3,ENSMUSG00000030257,Q812A2
Thumpd3,ENSMUSG00000030264,P97770
Gt(ROSA)26Sor,ENSMUSG00000086429,0
Setd5,ENSMUSG00000034269,Q5XJV7
Lhfpl4,ENSMUSG00000042873,Q5U4E0
Mtmr14,ENSMUSG00000030269,Q8VEL2
Cpne9,ENSMUSG00000030270,Q1RLL3
Brpf1,ENSMUSG00000001632,B2RRD7
Gm15492,ENSMUSG00000085012,0
Ogg1,ENSMUSG00000030271,O08760
Camk1,ENSMUSG00000030272,Q91YS8
Tada3,ENSMUSG00000048930,Q8R0L9
Arpc4,ENSMUSG00000079426,P59999
Ttll3,ENSMUSG00000030276,A4Q9E5
Rpusd3,ENSMUSG00000051169,Q14AI6
Cidec,ENSMUSG00000030278,P56198
Jagn1,ENSMUSG00000051256,Q5XKN4
Il17re,ENSMUSG00000043088,Q8BH06
Il17rc,ENSMUSG00000030281,Q8K4C2
Creld1,ENSMUSG00000030284,Q91XD7
Prrt3,ENSMUSG00000045009,Q6PE13
Emc3,ENSMUSG00000030286,Q99KI3
Fancd2,ENSMUSG00000034023,Q80V62
Fancd2os,ENSMUSG00000033963,Q9D4K4
Brk1,ENSMUSG00000033940,Q91VR8
Gm44199,ENSMUSG00000107560,0
Vhl,ENSMUSG00000033933,P40338
1700015O11Rik,ENSMUSG00000097671,0
Irak2,ENSMUSG00000060477,Q8CFA1
Gm43964,ENSMUSG00000107723,0
Tatdn2,ENSMUSG00000056952,B7ZNL9
Gm26982,ENSMUSG00000097994,0
Ghrl,ENSMUSG00000064177,Q9EQX0
Gm44053,ENSMUSG00000108137,0
Sec13,ENSMUSG00000030298,Q9D1M0
Atp2b2,ENSMUSG00000030302,Q9R0K7
Gm15082,ENSMUSG00000087053,0
Slc6a11,ENSMUSG00000030307,P31650
Slc6a1,ENSMUSG00000030310,P31648
Hrh1,ENSMUSG00000053004,P70174
Atg7,ENSMUSG00000030314,Q9D906
Vgll4,ENSMUSG00000030315,Q80V24
Tamm41,ENSMUSG00000030316,Q3TUH1
Syn2,ENSMUSG00000009394,Q64332
Timp4,ENSMUSG00000030317,Q9JHB3
Pparg,ENSMUSG00000000440,P37238
Gm44082,ENSMUSG00000107704,0
Tsen2,ENSMUSG00000042389,Q6P7W5
Mkrn2os,ENSMUSG00000068011,D3YX48
Mkrn2,ENSMUSG00000000439,Q9ERV1
Raf1,ENSMUSG00000000441,Q99N57
Tmem40,ENSMUSG00000059900,Q4FJU9
Cand2,ENSMUSG00000030319,Q6ZQ73
Rpl32,ENSMUSG00000057841,P62911
Efcab12,ENSMUSG00000030321,I6L9E6
Gm44206,ENSMUSG00000107429,0
Mbd4,ENSMUSG00000030322,Q9Z2D7
Ift122,ENSMUSG00000030323,Q6NWV3
Rho,ENSMUSG00000030324,P15409
H1foo,ENSMUSG00000042279,Q8VIK3
Plxnd1,ENSMUSG00000030123,Q3UH93
Tmcc1,ENSMUSG00000030126,Q69ZZ6
Gm20404,ENSMUSG00000092625,0
Fam21,ENSMUSG00000024104,Q6PGL7
Zfand4,ENSMUSG00000042213,D3Z3C6
Zfand4-1,ENSMUSG00000108273,0
8-Mar,ENSMUSG00000025702,Q9DBD2
Alox5,ENSMUSG00000025701,P48999
Olfr212,ENSMUSG00000053251,B2RU76
Gm5580,ENSMUSG00000107906,A0A0N4SVP8
Olfr215,ENSMUSG00000050654,Q8VF82
Zfp422,ENSMUSG00000059878,Q9ERU3
Rassf4,ENSMUSG00000042129,Q8CB96
8430408G22Rik,ENSMUSG00000048489,Q8K2F3
Tmem72,ENSMUSG00000048108,Q8C3K5
Cxcl12,ENSMUSG00000061353,P40224
Gm43983,ENSMUSG00000108020,0
Gm9946,ENSMUSG00000054488,Q8C7M1
Gm30304,ENSMUSG00000107785,0
1700030F04Rik,ENSMUSG00000099869,0
Zfp637,ENSMUSG00000059689,Q80V23
Zfp239,ENSMUSG00000042097,P24399
Hnrnpf,ENSMUSG00000042079,Q9Z2X1
Fxyd4,ENSMUSG00000004988,Q9D2W0
Rasgef1a,ENSMUSG00000030134,A0A0N4SVF2
Csgalnact2,ENSMUSG00000042042,Q8C1F4
Ret,ENSMUSG00000030110,P35546
1700069P05Rik,ENSMUSG00000107637,0
Gm30498,ENSMUSG00000107933,0
Bms1,ENSMUSG00000030138,Q3UYW7
Zfp248,ENSMUSG00000030145,E0CZG2
Zfp9,ENSMUSG00000072623,O88230
Ankrd26,ENSMUSG00000007827,Q811D2
Cacna1c,ENSMUSG00000051331,Q01815
Dcp1b,ENSMUSG00000041477,Q3U564
Cacna2d4,ENSMUSG00000041460,Q5RJF7
Lrtm2,ENSMUSG00000055003,Q8BGX3
Adipor2,ENSMUSG00000030168,Q8BQS5
Wnt5b,ENSMUSG00000030170,P22726
Fbxl14,ENSMUSG00000030019,Q8BID8
Erc1,ENSMUSG00000030172,Q99MI1
Gm44317,ENSMUSG00000108282,0
4930540M05Rik,ENSMUSG00000097831,0
Rad52,ENSMUSG00000030166,P43352
Wnk1,ENSMUSG00000045962,P83741
Ninj2,ENSMUSG00000041377,Q9JL89
B4galnt3,ENSMUSG00000041372,Q6L8S8
D330020A13Rik,ENSMUSG00000097481,0
Ccdc77,ENSMUSG00000030177,Q9CZH8
Kdm5a,ENSMUSG00000030180,Q3UXZ9
Il17ra,ENSMUSG00000002897,Q60943
Cecr6,ENSMUSG00000094626,Q99MX7
Cecr5,ENSMUSG00000058979,Q91WM2
Gm20692,ENSMUSG00000093739,0
1700072O05Rik,ENSMUSG00000107744,0
Cecr2,ENSMUSG00000071226,E9Q2Z1
Slc25a18,ENSMUSG00000004902,Q9DB41
Atp6v1e1,ENSMUSG00000019210,P50518
Bcl2l13,ENSMUSG00000009112,P59017
Bid,ENSMUSG00000004446,P70444
Mical3,ENSMUSG00000051586,Q8CJ19
Gm43916,ENSMUSG00000108232,0
Gm43915,ENSMUSG00000108171,0
Pex26,ENSMUSG00000067825,Q8BGI5
Tuba8,ENSMUSG00000030137,Q9JJZ2
Gm15856,ENSMUSG00000086527,0
Usp18,ENSMUSG00000030107,Q9WTV6
Gm44148,ENSMUSG00000107736,0
Slc6a13,ENSMUSG00000030108,P31649
Slc6a12,ENSMUSG00000030109,P31651
Iqsec3,ENSMUSG00000040797,Q3TES0
A2m,ENSMUSG00000030111,Q6GQT1
Mug2,ENSMUSG00000030131,P28666
Klrg1,ENSMUSG00000030114,O88713
M6pr,ENSMUSG00000007458,P24668
Phc1,ENSMUSG00000040669,Q64028
1700063H04Rik,ENSMUSG00000040657,Q9D9I7
Rimklb,ENSMUSG00000040649,Q80WS1
Mfap5,ENSMUSG00000030116,Q9QZJ6
Apobec1,ENSMUSG00000040613,P51908
Gdf3,ENSMUSG00000030117,Q07104
Dppa3,ENSMUSG00000046323,Q8QZY3
Slc2a3,ENSMUSG00000003153,P32037
Gm26826,ENSMUSG00000097635,0
Foxj2,ENSMUSG00000003154,Q9ES18
C3ar1,ENSMUSG00000040552,O09047
Necap1,ENSMUSG00000030327,Q9CR95
Clec4a1,ENSMUSG00000049037,Q80UI7
Clec4a3,ENSMUSG00000043832,A0A0N4SUX0
Clec4a4,ENSMUSG00000059639,Q5YIR8
Clec4b1,ENSMUSG00000030147,Q7TS58
Clec4a2,ENSMUSG00000030148,Q9QZ15
Clec4n,ENSMUSG00000023349,Q9JKF4
Clec4e,ENSMUSG00000030142,Q9R0Q8
Vmn2r19,ENSMUSG00000091260,G5E8G4
Vmn2r24,ENSMUSG00000072780,A0A3B2WCN3
Vmn2r26,ENSMUSG00000096630,Q6TAC4
Vmn2r27,ENSMUSG00000072778,A0A3B2WB88
Gm43971,ENSMUSG00000107773,0
Cd163,ENSMUSG00000008845,Q2VLH6
1700013D24Rik,ENSMUSG00000079346,Q0P521
1700027F06Rik,ENSMUSG00000107737,0
Gm44006,ENSMUSG00000107988,0
Pex5,ENSMUSG00000005069,O09012
Clstn3,ENSMUSG00000008153,Q99JH7
Gm44096,ENSMUSG00000107552,0
C1rl,ENSMUSG00000038527,Q3UZ09
C1ra,ENSMUSG00000055172,Q8CG16
C1s1,ENSMUSG00000038521,Q8CG14
C1rb,ENSMUSG00000098470,Q8CFG9
C1s2,ENSMUSG00000079343,Q8CFG8
Lpcat3,ENSMUSG00000004270,Q91V01
Emg1,ENSMUSG00000004268,O35130
Phb2,ENSMUSG00000004264,O35129
Ptpn6,ENSMUSG00000004266,P29351
Gm20531,ENSMUSG00000092482,0
Grcc10,ENSMUSG00000072772,O35127
Atn1-1,ENSMUSG00000004263,O35126
Eno2,ENSMUSG00000004267,P17183
Lrrc23,ENSMUSG00000030125,O35125
Spsb2,ENSMUSG00000038451,O88838
Tpi1,ENSMUSG00000023456,P17751
Usp5,ENSMUSG00000038429,P56399
Cdca3,ENSMUSG00000023505,Q99M54
P3h3,ENSMUSG00000023191,Q8CG70
Gpr162,ENSMUSG00000038390,Q3UN16
Cd4,ENSMUSG00000023274,P06332
Lag3,ENSMUSG00000030124,Q61790
Ptms,ENSMUSG00000030122,Q9D0J8
A230083G16Rik,ENSMUSG00000055818,Q8CAE1
Mlf2,ENSMUSG00000030120,Q99KX1
Cops7a,ENSMUSG00000030127,Q9CZ04
Pianp,ENSMUSG00000030329,Q6P1B3
Zfp384,ENSMUSG00000038346,A9X426
Gm43989,ENSMUSG00000108034,0
Ing4,ENSMUSG00000030330,Q8C0D7
Acrbp,ENSMUSG00000072770,Q3V140
Chd4,ENSMUSG00000063870,Q6PDQ2
Nop2,ENSMUSG00000038279,Q922K7
Iffo1,ENSMUSG00000038271,Q8BXL9
Gapdh,ENSMUSG00000057666,P16858
Ncapd2,ENSMUSG00000038252,Q8K2Z4
Mrpl51,ENSMUSG00000030335,Q9CPY1
Vamp1,ENSMUSG00000030337,Q62442
Tapbpl,ENSMUSG00000038213,Q8VD31
Cd27,ENSMUSG00000030336,P41272
Tuba3a,ENSMUSG00000067702,0
Ltbr,ENSMUSG00000030339,P50284
Scnn1a,ENSMUSG00000030340,Q61180
Tnfrsf1a,ENSMUSG00000030341,P25118
Plekhg6,ENSMUSG00000038167,Q8R0J1
Cd9,ENSMUSG00000030342,P40240
Gm28809,ENSMUSG00000101191,0
Vwf,ENSMUSG00000001930,Q8CIZ8
Ano2,ENSMUSG00000038115,Q8CFW1
Ntf3,ENSMUSG00000049107,P20181
Gm10415,ENSMUSG00000107623,Q3V0P2
Kcna1,ENSMUSG00000047976,P16388
Kcna6,ENSMUSG00000038077,Q61923
Ndufa9,ENSMUSG00000000399,Q9DC69
Gm42574,ENSMUSG00000107368,0
Akap3,ENSMUSG00000030344,O88987
Dyrk4,ENSMUSG00000030345,Q8BI55
Rad51ap1,ENSMUSG00000030346,Q8C551
D6Wsu163e,ENSMUSG00000030347,Q91YN0
Fgf6,ENSMUSG00000000183,P21658
Fgf23,ENSMUSG00000000182,Q9EPC2
Tigar,ENSMUSG00000038028,Q8BZA9
Platr31,ENSMUSG00000097525,0
Ccnd2,ENSMUSG00000000184,P30280
9330179D12Rik,ENSMUSG00000097166,0
Parp11,ENSMUSG00000037997,Q8CFF0
Prmt8,ENSMUSG00000030350,Q6PAK3
Gm42738,ENSMUSG00000107219,0
Tspan11,ENSMUSG00000030351,Q9D1D1
Tspan9,ENSMUSG00000030352,Q8BJU2
9330102E08Rik,ENSMUSG00000107879,0
Gm10010,ENSMUSG00000056771,Q8CA40
Tead4,ENSMUSG00000030353,Q62296
Tulp3,ENSMUSG00000001521,O88413
Gm26770,ENSMUSG00000097253,0
Rhno1,ENSMUSG00000048668,Q8K3A4
Foxm1,ENSMUSG00000001517,O08696
4933413G19Rik,ENSMUSG00000079304,Q3TTI8
Gm15862,ENSMUSG00000085739,0
Nrip2,ENSMUSG00000001520,Q9JHR9
Itfg2,ENSMUSG00000001518,Q91WI7
Fkbp4,ENSMUSG00000030357,P30416
Gm10069,ENSMUSG00000059659,Q8BG77
Pzp,ENSMUSG00000030359,Q61838
BC048546,ENSMUSG00000047228,Q3UU35
Gm44009,ENSMUSG00000107503,0
Klrb1a,ENSMUSG00000030361,P27811
Klrb1,ENSMUSG00000079299,Q0ZUP1
Klrb1c,ENSMUSG00000030325,P27814
Klrb1b,ENSMUSG00000079298,P27812
Gm44066,ENSMUSG00000107946,0
Gm44067,ENSMUSG00000108095,0
Gm26656,ENSMUSG00000096931,0
BC035044,ENSMUSG00000090164,E0CXF8
